Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID,Population,Annual Growth Rate %,Area (sq km),Density (per sq km),Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population
Tunisia,8/31/2021,5683733,4179830,2155652,8/31/2021,788,11811335,0.752,155360,76,662752,5607.69,23430,198.25
Turkey,8/31/2021,94167554,47929111,36765581,8/31/2021,792,82482383,0.697,769632,107.2,6366438,7548.62,56458,66.94
United States,8/31/2021,370212027,205026070,174121529,8/31/2021,840,334998398,0.70192,9150541,36.6,38666040,11681.49,632983,191.23
US (Aggregate),8/31/2021,369105889,205026070,174121529,8/31/2021,840,334998398,0.70192,9150541,36.6,#N/A,#N/A,#N/A,#N/A
Uganda,8/31/2021,1376986,901900,242310,8/31/2021,800,44712143,3.306,197100,226.9,99318,217.13,3006,6.57
Ukraine,8/31/2021,9072821,5359415,3722707,8/31/2021,804,43745640,-0.493,579330,75.5,2286296,5227.76,53789,122.99
United Arab Emirates,8/31/2021,18158991,8485738,7417604,8/31/2021,784,9856612,0.618,83600,117.9,717374,7253.23,2039,20.62
United Kingdom,8/31/2021,91589431,48024928,42718652,8/31/2021,826,66052076,0.483,241930,273,6757654,9954.41,132485,195.16
Uruguay,8/31/2021,5575056,2662290,2501881,8/31/2021,858,3398239,0.263,175015,19.4,384692,11074.32,6029,173.56
Uzbekistan,8/31/2021,14338693,9490884,1232807,8/31/2021,860,30842796,0.859,425400,72.5,156394,467.28,1082,3.23
Venezuela,8/31/2021,9342817,6006270,3336547,8/31/2021,862,29069153,2.464,882050,33,333125,1171.49,3998,14.06
Vietnam,8/31/2021,19710560,17186153,2524407,8/31/2021,704,102789598,1.003,310070,331.5,449489,461.78,11064,11.37
World,8/31/2021,5275545825,3060662104,2091311852,8/31/2021,,,,,,#N/A,#N/A,#N/A,#N/A
Zambia,8/31/2021,575032,310173,264859,8/31/2021,894,19077816,2.932,743398,25.7,206145,1121.33,3599,19.58
Zimbabwe,8/31/2021,4172657,2552273,1620384,8/31/2021,716,14829988,1.939,386847,38.3,124581,838.2,4416,29.71
